model,noise,seed,n_samples,mean_seq_recovery
fullbackbone,0.4,37,240,0.3253941666666666
fullbackbone,0.4,38,240,0.3231450000000001
fullbackbone,0.4,39,240,0.3215245833333336
fullbackbone,0.45,37,240,0.28257374999999996
fullbackbone,0.45,38,240,0.28420791666666645
fullbackbone,0.45,39,240,0.2829375
fullbackbone,0.5,37,,0.23864874999999994
fullbackbone,0.5,38,240,0.24665374999999995
fullbackbone,0.5,39,240,0.24349666666666675
fullbackbone,0.6,37,240,0.17803666666666668
fullbackbone,0.6,38,240,0.17683708333333348
fullbackbone,0.6,39,240,0.1799266666666667
ca_only,0.4,37,240,0.3060558333333335
ca_only,0.4,38,240,0.30384708333333343
ca_only,0.4,39,240,0.30243249999999994
ca_only,0.45,37,240,0.28154249999999986
ca_only,0.45,38,240,0.27902625
ca_only,0.45,39,240,0.27754791666666667
ca_only,0.5,37,,0.25421458333333324
ca_only,0.5,38,240,0.25305416666666675
ca_only,0.5,39,240,0.25090083333333335
ca_only,0.6,37,240,0.21004749999999997
ca_only,0.6,38,240,0.2060458333333332
ca_only,0.6,39,240,0.20309499999999997
